neuron_idx,tau_frames,tau_ms,tau_psd_frames,tau_psd_ms,pearson_cumsum_raw,pearson_cumsum_calib,spearman_cumsum_raw,spearman_cumsum_calib,pearson_cumsum_raw_psd,pearson_cumsum_calib_psd,spearman_cumsum_raw_psd,spearman_cumsum_calib_psd,binned_rate_bin_ms,pearson_binned_rate_raw,spearman_binned_rate_raw,pearson_binned_rate_raw_psd,spearman_binned_rate_raw_psd,gof_tau_pearson_raw,gof_tau_pearson_scaled,gof_tau_spearman_raw,gof_tau_spearman_scaled,gof_tau_psd_pearson_raw,gof_tau_psd_pearson_scaled,gof_tau_psd_spearman_raw,gof_tau_psd_spearman_scaled,firing_rate_hz,mean_isi_s,cv2,burst_index,global_id,dataset_name,frame_rate,gof_tau_r2,gof_tau_psd_r2,gof_tau_chi2,gof_tau_nmse,gof_tau_psd_chi2,gof_tau_psd_nmse,psd_fit_r2,psd_fit_std_tau
413,127.22662124423819,636.1480147772354,58.26145271020863,291.3140906924422,0.9891644781102914,0.9891644781102922,0.9997743117423341,0.9997743117423341,0.9892176588553192,0.9892176588553196,0.9998280999622342,0.9998280999622342,3000.0,0.8728487494031847,0.8928121023157033,0.803139426522012,0.8235105221439425,0.9986041021280667,0.9986041021280667,0.9584131068704146,0.9584131068704146,0.9986063152927331,0.9986063152927331,0.9590908759501456,0.9590908759501456,2.5596939846224918,0.38730595275943924,1.2898509261845206,0.7398230088495575,1038,X-DS09-GCaMP6f-m-V1,158.2804412858703,,,,,,,0.892910669138189,0.004490675078400188
414,108.00488727448655,540.0583401296961,29.98114062713562,149.9151144997372,0.9913390739544025,0.9913390739544023,0.9991844521359871,0.9991844521359871,0.9906867851872072,0.9906867851872072,0.9992373986507685,0.9992373986507685,3000.0,0.88007830293906,0.8825708696378964,0.8316191847848131,0.8451673952825233,0.9853311643879753,0.9853311643879753,0.7842868279881638,0.7842868279881638,0.9852803158966301,0.9852803158966303,0.7838052940175531,0.7838052940175531,1.8796742239809086,0.5214033605428987,1.3422303342587598,0.6431718061674009,1039,X-DS09-GCaMP6f-m-V1,164.87545967278155,,,,,,,0.7794860428895991,0.0032489449697541686
415,105.81671044024715,529.0959519202773,84.42956550545662,422.1577210770515,0.9855523050409003,0.985552305040901,0.9998183123782785,0.9998183123782785,0.9855608304940853,0.9855608304940858,0.9998306896469468,0.9998306896469468,3000.0,0.8723054541128643,0.8409246796514231,0.8667378326757531,0.8325643825498348,0.9980341462032295,0.9980341462032295,0.9183582556141255,0.9183582556141255,0.9981103300178128,0.9981103300178128,0.9217836545786066,0.9217836545786066,1.9536886949768841,0.4977024031949722,1.3862547004863848,0.7192575406032483,1040,X-DS09-GCaMP6f-m-V1,158.2804412858703,,,,,,,0.7819843906215459,0.014744207866202853
416,79.19288203297056,395.97369007426613,52.459147134344114,262.3018828925416,0.9795815666877897,0.9795815666877888,0.9985137056757096,0.9985137056757096,0.9793597232955429,0.9793597232955422,0.9985326387097017,0.9985326387097017,3000.0,0.8090165356848928,0.7905036332792101,0.7938045333464216,0.7802232430615937,0.9926029480369482,0.9926029480369479,0.7722406440485556,0.7722406440485556,0.9925919890067997,0.9925919890067996,0.7722363920573376,0.7722363920573376,0.9677994924191046,1.0308722544160591,1.3925171081567163,0.7276995305164319,1042,X-DS09-GCaMP6f-m-V1,158.2804412858703,,,,,,,0.897143679490094,0.003616715982034885
417,60.53541316705276,302.69307373760756,48.51629190933687,242.59428912894595,0.9734856879275608,0.9734856879275613,0.9979797489736824,0.9979797489736824,0.9734766615720029,0.9734766615720034,0.9979801288242207,0.9979801288242207,3000.0,0.8969696544320883,0.7261075834259195,0.8901823929076637,0.732856259760687,0.949219731478427,0.949219731478427,0.7712445098612936,0.7712445098612936,0.9492871951794049,0.9492871951794049,0.7714119342994309,0.7714119342994309,0.8151850318738257,1.1723628625128284,1.3370459243133246,0.6764705882352942,1044,X-DS09-GCaMP6f-m-V1,158.2804412858703,,,,,,,0.8459423664419204,0.005247890041528582
418,64.8520766511939,324.2775326509353,90.36084461263013,451.82811796203026,0.9947053872955035,0.9947053872955032,0.9999041419933697,0.9999041419933697,0.9947883265462231,0.9947883265462233,0.9998918126674561,0.9998918126674561,3000.0,0.9042437186786292,0.9315711954336557,0.9170479127215545,0.9442989153922867,0.9850400550076701,0.9850400550076703,0.8912361161210799,0.8912361161210799,0.9849741971024578,0.9849741971024579,0.8904376903487529,0.8904376903487529,2.1606360553548973,0.45710910992146814,1.2439059208836625,0.5661764705882353,1046,X-DS09-GCaMP6f-m-V1,158.2804412858703,,,,,,,0.8463368593505909,0.018466801755031393
419,55.09920626833539,275.5024879275441,131.33193112572022,656.6750452493933,0.979245447773293,0.9792454477732928,0.9971086050458372,0.9971086050458372,0.9791454068669456,0.9791454068669456,0.9970729870776058,0.9970729870776058,3000.0,0.8815608367304141,0.7252459342411193,0.8956385205451828,0.7458041133101674,0.9843848307436325,0.9843848307436324,0.8159540982112699,0.8159540982112699,0.9844168965418709,0.9844168965418711,0.8161462018425039,0.8161462018425039,0.77333510842835,1.1493490045686414,1.5943051339158412,0.7411764705882353,1047,X-DS09-GCaMP6f-m-V1,158.2804412858703,,,,,,,0.7680057446843078,0.04507965242495846
420,56.293871541172734,281.4759542839275,32.25072216589258,161.2573900047187,0.9894416618591813,0.9894416618591817,0.999114302340878,0.999114302340878,0.9895267149387643,0.9895267149387648,0.9991151272829449,0.9991151272829449,3000.0,0.927532989957319,0.7859947496665841,0.8976104594211056,0.7439371636911234,0.9920633100547143,0.9920633100547143,0.9013273405474995,0.9013273405474995,0.9920312461026501,0.9920312461026501,0.9012021829782045,0.9012021829782045,1.5150132241140188,0.6265435299923117,1.3974763348395607,0.7275449101796407,1048,X-DS09-GCaMP6f-m-V1,158.2804412858703,,,,,,,0.7503426550995134,0.0028886611710356776
421,55.13915140391793,275.70402258276584,62.02755766107953,310.14708646620454,0.9984356512219222,0.9984356512219223,0.9999244431184808,0.9999244431184808,0.9984400535762221,0.9984400535762221,0.9999236524205609,0.9999236524205609,3000.0,0.7854894037822427,0.7125348853668194,0.7749174438642142,0.7090461952308009,0.9892443501419418,0.989244350141942,0.9512048378089087,0.9512048378089087,0.9892415378773123,0.9892415378773123,0.951126474953932,0.951126474953932,2.711961959429892,0.3685270355816392,1.2854299486868197,0.6881091617933723,1049,X-DS10-GCaMP6f-m-V1,158.2804412858703,,,,,,,0.805516313897193,0.007710423457858857
422,85.81092926170945,429.0675096849134,44.55010608357208,222.75720864389334,0.9981989770547653,0.9981989770547656,0.9999636573075956,0.9999636573075956,0.9981437881385413,0.9981437881385413,0.9999715044459995,0.9999715044459995,3000.0,0.8307906917662238,0.8761085183144394,0.7835433595354193,0.852644974866455,0.9915632258095102,0.9915632258095104,0.969016421930138,0.969016421930138,0.9915925717878917,0.9915925717878917,0.9693488249904813,0.9693488249904813,4.23150484720384,0.23203894704742278,1.1347962506338218,0.6379525593008739,1050,X-DS10-GCaMP6f-m-V1,158.2804412858703,,,,,,,0.8079172555265951,0.004273858923905122
